Designator,Mid X,Mid Y,Rotation,Layer
C1,339.175,-139.7125,0.0,bottom
C2,349.0,-130.0,180.0,bottom
C3,349.0,-122.0,0.0,bottom
C4,342.425,-134.14375,0.0,bottom
C5,349.925,-147.2125,270.0,bottom
C6,342.425,-136.9625,0.0,bottom
C7,342.425,-139.7125,0.0,bottom
D1,80.9625,-99.21875,180.0,top
D10,252.4125,-99.21875,180.0,top
D11,271.4625,-99.21875,180.0,top
D12,290.5125,-99.21875,180.0,top
D13,309.5625,-99.21875,180.0,top
D14,335.75625,-99.21875,180.0,top
D15,90.4875,-118.26875,180.0,top
D16,109.5375,-118.26875,180.0,top
D17,128.4,-118.26875,180.0,top
D18,147.45,-118.26875,180.0,top
D19,166.5,-118.26875,180.0,top
D2,100.0125,-99.21875,180.0,top
D20,185.7375,-118.26875,180.0,top
D21,204.7875,-118.26875,180.0,top
D22,223.8375,-118.26875,180.0,top
D23,242.8875,-118.26875,180.0,top
D24,261.9375,-118.26875,180.0,top
D25,280.9875,-118.26875,180.0,top
D26,300.0375,-118.26875,180.0,top
D27,319.0875,-118.26875,180.0,top
D28,340.51875,-118.26875,180.0,top
D29,95.25,-137.31875,180.0,top
D3,119.0625,-99.21875,180.0,top
D30,114.3,-137.31875,180.0,top
D31,133.35,-137.31875,180.0,top
D32,152.4,-137.31875,180.0,top
D33,171.45,-137.31875,180.0,top
D34,190.3125,-137.31875,180.0,top
D35,209.3625,-137.31875,180.0,top
D36,228.4125,-137.31875,180.0,top
D37,247.4625,-137.31875,180.0,top
D38,266.5125,-137.31875,180.0,top
D39,285.75,-137.31875,180.0,top
D4,138.1125,-99.21875,180.0,top
D40,304.6125,-137.31875,180.0,top
D41,330.925,-137.2125,180.0,top
D42,104.5875,-156.36875,180.0,top
D43,123.825,-156.36875,180.0,top
D44,142.875,-156.36875,180.0,top
D45,161.7375,-156.36875,180.0,top
D46,180.7875,-156.36875,180.0,top
D47,199.8375,-156.36875,180.0,top
D48,219.075,-156.36875,180.0,top
D49,238.125,-156.36875,180.0,top
D5,157.1625,-99.21875,180.0,top
D50,257.175,-156.36875,180.0,top
D51,276.225,-156.36875,180.0,top
D52,295.275,-156.36875,180.0,top
D53,328.6125,-156.36875,180.0,top
D54,85.725,-174.625,180.0,top
D55,109.5375,-174.625,180.0,top
D56,133.35,-174.625,180.0,top
D57,190.5,-174.625,180.0,top
D58,247.65,-174.625,180.0,top
D59,271.4625,-174.625,180.0,top
D6,176.2125,-99.21875,180.0,top
D60,295.275,-174.625,180.0,top
D61,319.0875,-174.625,180.0,top
D62,345.8875,-174.625,180.0,top
D7,195.2625,-99.21875,180.0,top
D8,214.3125,-99.21875,180.0,top
D9,233.3625,-99.21875,180.0,top
ICSP,350.14,-168.4325,0.0,top
J2,318.500125,-86.155,180.0,bottom
R1,337.0,-157.559375,0.0,bottom
R2,319.88125,-91.678125,270.0,bottom
R3,317.103125,-91.678125,270.0,bottom
R4,321.0,-95.0,0.0,bottom
R5,323.05625,-92.471875,180.0,bottom
R6,349.075,-94.5625,180.0,bottom
SW1,348.45625,-87.709375,270.0,bottom
SW10,227.965,-88.2225,0.0,top
SW11,247.015,-88.2225,0.0,top
SW12,266.065,-88.2225,0.0,top
SW13,285.115,-88.2225,0.0,top
SW14,304.165,-88.2225,0.0,top
SW15,332.74,-88.2225,0.0,top
SW16,80.3275,-107.2725,0.0,top
SW17,104.14,-107.2725,0.0,top
SW18,123.19,-107.2725,0.0,top
SW19,142.24,-107.2725,0.0,top
SW2,75.565,-88.2225,0.0,top
SW20,161.29,-107.2725,0.0,top
SW21,180.34,-107.2725,0.0,top
SW22,199.39,-107.2725,0.0,top
SW23,218.44,-107.2725,0.0,top
SW24,237.49,-107.2725,0.0,top
SW25,256.54,-107.2725,0.0,top
SW26,275.59,-107.2725,0.0,top
SW27,294.64,-107.2725,0.0,top
SW28,313.69,-107.2725,0.0,top
SW29,337.5025,-107.2725,0.0,top
SW3,94.615,-88.2225,0.0,top
SW30,82.70875,-126.3225,0.0,top
SW31,108.9025,-126.3225,0.0,top
SW32,127.9525,-126.3225,0.0,top
SW33,147.0025,-126.3225,0.0,top
SW34,166.0525,-126.3225,0.0,top
SW35,185.1025,-126.3225,0.0,top
SW36,204.1525,-126.3225,0.0,top
SW37,223.2025,-126.3225,0.0,top
SW38,242.2525,-126.3225,0.0,top
SW39,261.3025,-126.3225,0.0,top
SW4,113.665,-88.2225,0.0,top
SW40,280.3525,-126.3225,0.0,top
SW41,299.4025,-126.3225,0.0,top
SW42,330.35875,-126.3225,0.0,top
SW43,87.47125,-145.3725,0.0,top
SW44,118.4275,-145.3725,0.0,top
SW45,137.4775,-145.3725,0.0,top
SW46,156.5275,-145.3725,0.0,top
SW47,175.5775,-145.3725,0.0,top
SW48,194.6275,-145.3725,0.0,top
SW49,213.6775,-145.3725,0.0,top
SW5,132.715,-88.2225,0.0,top
SW50,232.7275,-145.3725,0.0,top
SW51,251.7775,-145.3725,0.0,top
SW52,270.8275,-145.3725,0.0,top
SW53,289.8775,-145.3725,0.0,top
SW54,325.59625,-145.3725,0.0,top
SW55,77.94625,-164.4225,0.0,top
SW56,101.75875,-164.4225,0.0,top
SW57,125.57125,-164.4225,0.0,top
SW58,166.0525,-164.4225,0.0,top
SW59,223.2025,-164.4225,0.0,top
SW6,151.765,-88.2225,0.0,top
SW60,263.68375,-164.4225,0.0,top
SW61,287.49625,-164.4225,0.0,top
SW62,311.30875,-164.4225,0.0,top
SW63,338.1375,-166.6875,180.0,top
SW7,170.815,-88.2225,0.0,top
SW8,189.865,-88.2225,0.0,top
SW9,208.915,-88.2225,0.0,top
U1,342.09375,-148.934375,180.0,bottom
Y1,349.0,-126.0,0.0,bottom
